SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
139346,1,Cash loans,M,Y,Y,0,450000.0,1042560.0,40702.5,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Office apartment,0.014464,-16584,-9027,-4379.0,-131,24.0,1,1,0,1,0,1,,2.0,2,2,MONDAY,7,0,0,0,0,1,1,Business Entity Type 2,0.3332526485937461,0.5108902170068956,0.3409064264152384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-245.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
332581,1,Cash loans,F,N,Y,2,112500.0,640080.0,31261.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-10307,-3184,-2268.0,-2996,,1,1,0,1,0,0,,4.0,2,2,TUESDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.5487749953973924,0.4507472818545589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
101245,1,Cash loans,M,N,Y,1,112500.0,314100.0,19215.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.006305,-8402,-570,-2736.0,-803,,1,1,0,1,0,0,Security staff,3.0,3,3,TUESDAY,5,0,0,0,1,1,1,Business Entity Type 3,,0.1461118244496446,0.3807996826489149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
186288,1,Cash loans,F,N,N,2,112500.0,222547.5,17842.5,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.0060079999999999,-10895,-1861,-5022.0,-733,,1,1,0,1,0,0,Cooking staff,4.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 2,,0.312323076912706,0.1510075350878296,0.0124,0.0406,0.9836,0.7756,0.0146,0.0,0.069,0.0417,0.0833,,0.0101,0.0146,0.0,0.0,0.0126,0.0422,0.9836,0.7844,0.0147,0.0,0.069,0.0417,0.0833,,0.011,0.0152,0.0,0.0,0.0125,0.0406,0.9836,0.7786,0.0147,0.0,0.069,0.0417,0.0833,,0.0103,0.0149,0.0,0.0,reg oper spec account,block of flats,0.0194,Panel,No,2.0,0.0,2.0,0.0,-720.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
178513,1,Cash loans,F,Y,Y,2,67500.0,582471.0,28458.0,409500.0,Family,Working,Lower secondary,Married,House / apartment,0.020246,-14017,-723,-890.0,-5008,15.0,1,1,0,1,0,0,,4.0,3,3,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.7010624245567584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-271.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
338848,1,Cash loans,F,Y,Y,0,211500.0,948816.0,27873.0,792000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.008625,-15964,-734,-10021.0,-3940,2.0,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,Self-employed,,0.3940697039734156,0.6577838002083306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,-767.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
386581,1,Cash loans,F,N,N,0,108000.0,792477.0,30708.0,661500.0,Unaccompanied,State servant,Secondary / secondary special,Married,Municipal apartment,0.008068,-8862,-1625,-2276.0,-602,,1,1,1,1,0,0,Medicine staff,2.0,3,3,FRIDAY,11,0,0,0,1,1,0,Medicine,0.2338920634677344,0.0134269644182312,0.4188542886233217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1059.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
194172,1,Cash loans,M,N,N,0,144000.0,339241.5,16627.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-12719,-620,-4092.0,-1541,,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,8,0,0,0,0,0,0,Business Entity Type 3,,0.1631870354642708,0.2750003523983893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-759.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
344628,1,Cash loans,F,N,Y,1,67500.0,263686.5,28525.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.003813,-14975,-837,-8261.0,-4197,,1,1,0,1,0,0,Sales staff,3.0,2,2,WEDNESDAY,7,0,0,0,0,1,1,Self-employed,0.3046569340407111,0.3794966920393968,0.6212263380626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,-439.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
102955,1,Revolving loans,F,Y,Y,2,94500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-7763,-1167,-5306.0,-430,37.0,1,1,1,1,1,0,,3.0,2,2,SATURDAY,12,0,0,0,0,0,0,Government,,0.7606039583623122,0.1929422277169508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-799.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
